# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Galaxies within our survey boundaries without a measured redshift. Please observe them and let us know! Thanks!
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv r_iso r_ext  b/a  flgs  type  ts
10021129-4524581 150.54710 -45.41615 274.43921   7.88677 11.562 11.890 12.637 11.397 11.713 12.431 0.074 0.053 0.047 0.072 0.057 0.053 0.206 1.093 1.367 0.860 0333 98    NN
04351846+3249000  68.82686  32.81669 167.91797  -9.87389 11.563 11.780 12.486 11.448 11.415 12.241 0.045 0.034 0.034 0.047 0.032 0.038 0.727 1.072 1.337 0.800 0000 98    NN
16400209-5741247 250.00882 -57.69015 329.84961  -7.31596 11.563 11.848 12.554 11.464 11.721 12.238 0.079 0.061 0.061 0.081 0.069 0.063 0.371 1.017 1.299 0.840 0333 98    NN
10280552-6429144 157.02301 -64.48742 288.24963  -5.78303 11.564 11.939 12.553 11.168 11.835 12.406 0.122 0.100 0.095 0.135 0.168 0.162 0.683 1.220 1.599 0.820 0231 98    NN
12441274-3925016 191.05310 -39.41717 301.41104  23.43323 11.564 11.917 12.626 11.315 11.506 12.414 0.069 0.042 0.037 0.071 0.042 0.048 0.101 1.164 1.492 0.760 0333 98    NN
13172723-4957262 199.36359 -49.95728 307.21606  12.69794 11.564 11.938 12.649 11.445 11.717 12.506 0.067 0.049 0.040 0.064 0.050 0.047 0.170 1.179 1.416 0.460 0111 98    NN
03192623+4748257  49.85930  47.80718 147.02298  -8.02140 11.565 11.841 12.562 11.051 11.357 12.327 0.070 0.053 0.053 0.097 0.085 0.115 0.565 1.149 1.626 0.720 0000 98    NN
03473683+3922058  56.90346  39.36822 156.24124 -11.84895 11.565 11.848 12.456 11.488 11.654 12.237 0.053 0.041 0.030 0.057 0.045 0.034 0.540 0.991 1.286 0.740 0000 98    NN
05554931+4345495  88.95538  43.76376 168.19106   9.26198 11.565 11.787 12.561 11.343 11.390 12.083 0.062 0.040 0.037 0.059 0.037 0.034 0.291 1.207 1.488 0.600 0333 98    NN
19344221+0901463 293.67593   9.02955  45.94493  -5.35823 11.565 11.752 12.365 11.319 11.487 12.232 0.116 0.083 0.085 0.106 0.083 0.102 0.409 1.377 1.612 0.340 0222 98    NN
22320813+6656092 338.03369  66.93587 109.88531   7.66170 11.565 11.812 12.405 11.348 11.539 12.317 0.102 0.085 0.070 0.097 0.087 0.090 0.845 1.243 1.500 0.900 0333 98    NN
03381510+2300164  54.56298  23.00453 165.73732 -25.68476 11.566 11.923 12.641 11.435 11.836 12.527 0.054 0.036 0.029 0.051 0.042 0.035 0.241 1.190 1.420 0.360 0000 98    NN
04013138+3759567  60.38073  37.99909 159.25310 -11.12158 11.567 11.897 12.663 11.220 11.491 12.598 0.059 0.056 0.050 0.081 0.085 0.112 0.673 1.057 1.527 0.820 0000 98    NN
04471998+5922159  71.83341  59.37108 149.17549   9.12913 11.567 11.853 12.519 11.381 11.722 12.307 0.066 0.055 0.046 0.066 0.067 0.055 0.757 1.104 1.385 0.880 0000 98    NN
04472201-6222158  71.84170 -62.37107 272.61041 -38.07314 11.567 11.788 12.505 11.455 11.631 12.337 0.056 0.032 0.025 0.055 0.033 0.028 0.037 1.025 1.307 0.900 0000 98    NN
06091575-1011338  92.31569 -10.19279 217.38600 -13.94419 11.567 13.032 14.607 11.544 12.722 14.236 0.033 0.044 0.081 0.035 0.051 0.102 0.517 0.716 0.993 0.640 0004 98    NN
08244149-5303440 126.17280 -53.06224 268.98398  -8.78901 11.567 11.825 12.514 11.427 11.742 12.350 0.071 0.045 0.039 0.070 0.052 0.046 0.500 1.143 1.395 0.480 0000 98    NN
14565373-5153402 224.22392 -51.89461 321.78604   6.32468 11.567 11.794 12.549 11.443 11.282 12.067 0.072 0.061 0.060 0.072 0.049 0.054 0.608 1.090 1.368 0.360 0222 98    NN
20265826+5218323 306.74286  52.30902  88.55379   8.07805 11.567 11.916 12.652 11.453 11.817 12.457 0.072 0.061 0.051 0.071 0.070 0.057 0.304 1.068 1.320 0.840 0000 98    NN
10480786-6708292 162.03279 -67.14151 291.36032  -7.08231 11.568 11.718 12.514 11.508 11.397 12.172 0.105 0.064 0.070 0.111 0.058 0.068 0.497 1.176 1.387 0.800 0313 98    NN
17124322-0501387 258.18008  -5.02740  16.45923  19.28207 11.568 11.714 12.578 11.442 11.471 12.370 0.070 0.043 0.050 0.071 0.046 0.058 0.609 1.297 1.509 0.180 0000 98    NN
18283240+0820107 277.13504   8.33627  37.81049   8.85561 11.568 11.978 12.619 11.011 11.437 12.215 0.095 0.084 0.068 0.091 0.093 0.091 0.223 1.199 1.580 0.820 0222 98    NN
06432165-6938293 100.84019 -69.64153 280.17432 -26.00247 11.569 11.889 12.639 11.468 11.604 12.405 0.079 0.055 0.040 0.081 0.053 0.043 0.072 1.371 1.625 0.220 0000 98    NN
15311985-4646364 232.83267 -46.77686 329.29227   7.74802 11.570 11.746 12.483 11.495 11.611 12.435 0.071 0.052 0.047 0.071 0.057 0.060 0.326 1.130 1.385 0.420 0222 98    NN
09395130-3947567 144.96373 -39.79904 267.61526   9.58923 11.571 11.878 12.582 11.396 11.831 12.450 0.087 0.056 0.052 0.084 0.069 0.064 0.402 1.207 1.468 0.660 0000 98    NN
10565896-4828508 164.24573 -48.48086 284.11697  10.16506 11.571 11.887 12.597 11.466 11.750 12.514 0.058 0.043 0.035 0.057 0.046 0.043 0.222 1.029 1.286 0.660 0333 98    NN
22342417+5020396 338.60068  50.34427 101.72163  -6.79775 11.571 11.849 12.568 11.434 11.485 12.503 0.052 0.041 0.034 0.053 0.041 0.044 0.208 1.072 1.384 0.340 0333 98    NN
08532879-3254529 133.36989 -32.91465 256.08051   7.55839 11.572 11.873 12.633 11.436 11.579 12.197 0.083 0.047 0.045 0.100 0.056 0.051 0.303 1.121 1.492 0.540 0333 98    NN
09565330-4356076 149.22203 -43.93541 272.77017   8.47919 11.572 11.932 12.647 11.393 11.724 12.591 0.079 0.055 0.051 0.077 0.059 0.067 0.212 1.155 1.427 0.660 0000 98    NN
15524980-4032516 238.20743 -40.54778 336.25891  10.30315 11.572 11.732 12.388 11.429 11.689 12.300 0.055 0.035 0.033 0.059 0.046 0.044 0.402 1.021 1.378 0.680 0333 98    NN
05150775+5206599  78.78222  52.11668 157.40105   7.87068 11.573 11.875 12.553 11.327 11.707 12.357 0.048 0.032 0.031 0.055 0.044 0.045 0.442 1.064 1.459 0.860 0000 98    NN
04112790+1703592  62.86637  17.06649 176.46167 -24.39216 11.574 11.827 12.535 11.457 11.794 12.315 0.053 0.047 0.035 0.054 0.058 0.039 0.546 1.068 1.336 0.800 0000 98    NN
04185214+4125024  64.71710  41.41735 159.33247  -6.34716 11.574 11.934 12.722 11.148 11.558 12.501 0.085 0.072 0.067 0.115 0.116 0.136 0.624 1.161 1.620 0.860 0333 98    NN
04512737+1204529  72.86407  12.08134 187.14365 -19.85490 11.574 11.865 12.562 11.474 11.769 12.397 0.070 0.044 0.040 0.071 0.050 0.046 0.447 1.334 1.552 0.240 0000 98    NN
05475569+4043503  86.98215  40.73064 170.11902   6.48977 11.574 11.813 12.613 11.317 11.551 12.272 0.059 0.057 0.043 0.065 0.071 0.053 0.364 1.114 1.487 0.860 0111 98    NN
06590580-2049512 104.77416 -20.83099 232.42889  -7.72168 11.574 11.784 12.498 11.486 11.519 12.294 0.063 0.034 0.032 0.064 0.033 0.036 0.423 0.996 1.263 0.900 0333 98    NN
13035387-4818332 195.97441 -48.30919 305.07138  14.51080 11.574 11.898 12.547 11.477 11.778 12.336 0.080 0.050 0.044 0.080 0.056 0.048 0.179 1.288 1.523 0.360 0333 98    NN
12124117-5504106 183.17152 -55.06962 297.35623   7.38207 11.575 11.890 12.532 11.426 11.792 12.377 0.091 0.062 0.057 0.088 0.070 0.066 0.281 1.140 1.386 0.840 0333 98    NN
15082212-4818574 227.09209 -48.31593 325.16168   8.55680 11.575 11.814 12.485 11.428 11.650 12.348 0.082 0.065 0.055 0.079 0.068 0.063 0.276 1.196 1.434 0.580 0111 98    NN
15244001-5025000 231.16684 -50.41675 326.30563   5.36931 11.575 11.806 12.538 11.575 11.806 12.538 0.070 0.058 0.064 0.041 0.038 0.046 0.523 1.130 1.132 0.400 0333 98    NN
20451931-3514274 311.33044 -35.24092   7.85248 -37.56228 11.575 11.946 12.534 11.076 11.733 12.367 0.093 0.059 0.041 0.101 0.098 0.075 0.055 1.358 1.800 0.240 0624 98    NN
04280875+4103008  67.03658  41.05023 160.82268  -5.35741 11.576 11.847 12.558 11.448 11.638 12.363 0.061 0.043 0.041 0.061 0.046 0.047 0.645 1.158 1.405 0.480 0000 98    NN
04504806+3015026  72.70019  30.25073 172.06367  -9.00549 11.576 11.830 12.588 11.484 11.711 12.501 0.049 0.040 0.043 0.051 0.045 0.055 0.807 1.117 1.369 0.520 0000 98    NN
06373984-1307568  99.41600 -13.13252 223.16795  -8.95501 11.576 11.969 12.830 11.437 11.760 12.595 0.075 0.048 0.051 0.072 0.051 0.059 0.433 1.217 1.450 0.380 0000 98    NN
03435654+4456315  55.98561  44.94207 152.17548  -7.91283 11.577 11.784 12.566 11.133 11.269 12.481 0.064 0.048 0.043 0.085 0.067 0.096 0.480 1.114 1.592 0.820 0333 98    NN
07355974-3706195 113.99889 -37.10540 250.74118  -7.92970 11.577 11.999 12.726 11.495 11.653 12.524 0.083 0.058 0.053 0.086 0.054 0.061 0.435 1.182 1.423 0.380 0333 98    NN
14351530-4930271 218.81377 -49.50753 319.70203   9.95383 11.577 11.833 12.626 11.464 11.477 12.416 0.072 0.058 0.048 0.071 0.051 0.053 0.307 1.212 1.438 0.380 0333 98    NN
04253337+4201067  66.38901  42.01852 159.78407  -5.03690 11.578 11.828 12.383 11.468 11.640 12.233 0.048 0.037 0.032 0.050 0.040 0.038 0.595 1.004 1.290 0.940 0333 98    NN
08164547-2036118 124.18944 -20.60333 241.17856   8.19592 11.578 11.934 12.605 11.417 11.664 12.205 0.091 0.068 0.052 0.085 0.066 0.047 0.127 1.253 1.473 0.540 0444 98    NN
09502434-6422390 147.60143 -64.37760 284.85947  -8.06124 11.579 11.833 12.498 11.293 11.663 12.349 0.071 0.044 0.043 0.085 0.065 0.069 0.280 1.137 1.548 0.520 0333 98    NN
04023805+6702293  60.65863  67.04144 140.03722  10.75865 11.580 11.648 12.400 11.507 11.487 12.237 0.053 0.040 0.039 0.058 0.044 0.047 0.999 1.025 1.305 0.820 0333 98    NN
04270324+2317533  66.76347  23.29815 174.03644 -17.53111 11.580 11.946 12.668 10.991 11.585 12.204 0.090 0.071 0.062 0.083 0.094 0.080 0.522 1.215 1.595 0.860 0000 98    NN
05292985+0541114  82.37438   5.68646 198.09225 -15.35204 11.580 11.947 12.690 11.456 11.816 12.501 0.078 0.064 0.064 0.078 0.073 0.075 0.667 1.083 1.327 0.780 0333 98    NN
16475067-0938566 251.96123  -9.64911   8.74112  21.97048 11.580 11.811 12.663 11.163 11.560 12.307 0.081 0.062 0.067 0.104 0.105 0.115 0.919 1.134 1.581 0.740 0000 98    NN
04004396+3827188  60.18318  38.45528 158.82512 -10.88555 11.581 11.811 12.455 11.375 11.748 12.246 0.060 0.054 0.047 0.061 0.071 0.058 0.841 1.167 1.465 0.540 0000 98    NN
04362388+3441286  69.09959  34.69135 166.64932  -8.46065 11.581 11.796 12.448 11.392 11.598 12.173 0.048 0.038 0.038 0.051 0.044 0.045 0.941 1.072 1.381 0.880 0331 98    NN
07050025-7951431 106.25115 -79.86192 291.65048 -26.07809 11.581 11.876 12.634 11.457 11.822 12.522 0.074 0.059 0.048 0.072 0.068 0.058 0.390 1.225 1.449 0.320 0000 98    NN
09302613-4134510 142.60886 -41.58084 267.51520   7.06886 11.581 11.990 12.535 11.442 11.874 12.395 0.090 0.070 0.061 0.088 0.081 0.072 0.603 1.384 1.581 0.300 0333 98    NN
11274534-5037559 171.93892 -50.63222 289.63303  10.06611 11.582 11.848 12.537 11.399 11.720 12.272 0.068 0.052 0.042 0.071 0.064 0.049 0.182 1.090 1.430 0.800 0000 98    NN
17334493-0509029 263.43719  -5.15086  19.11998  14.70339 11.582 11.773 12.532 11.266 11.535 12.242 0.074 0.049 0.055 0.101 0.081 0.095 0.879 1.083 1.553 0.820 0133 98    NN
22434865+4247254 340.95264  42.79047  99.35223 -14.16239 11.582 11.814 12.434 11.349 11.621 12.174 0.067 0.041 0.032 0.070 0.048 0.052 0.208 1.173 1.518 0.640 0000 98    NN
03290549+3247443  52.27296  32.79570 157.37566 -19.33015 11.583 11.862 12.523 11.440 11.764 12.427 0.067 0.054 0.044 0.064 0.061 0.053 0.502 1.367 1.565 0.400 0000 98    NN
05231317+4904145  80.80500  49.07074 160.66867   7.21403 11.583 11.804 12.511 11.381 11.476 12.328 0.056 0.045 0.035 0.054 0.043 0.041 0.373 1.161 1.435 0.660 0333 98    NN
17005790-2825176 255.24132 -28.42157 354.90103   8.38493 11.583 11.843 12.387 11.434 11.573 12.141 0.105 0.090 0.087 0.105 0.091 0.098 0.306 1.212 1.479 0.420 0333 98    NN
19403665+0318140 295.15271   3.30380  41.57162  -9.37505 11.583 11.886 12.465 11.392 11.868 12.387 0.072 0.052 0.045 0.073 0.070 0.060 0.319 1.111 1.420 0.660 0222 98    NN
05371708-7055158  84.32080 -70.92110 281.60355 -31.56257 11.584 11.774 12.468 11.518 11.652 12.375 0.077 0.055 0.048 0.077 0.058 0.056 0.075 1.068 1.316 0.780 0222 98    NN
09280101-3939189 142.00414 -39.65522 265.83450   8.13814 11.584 11.997 12.771 11.490 11.869 12.733 0.073 0.054 0.053 0.073 0.062 0.069 0.409 1.215 1.443 0.400 0000 98    NN
13121888-5030101 198.07866 -50.50283 306.32590  12.23130 11.584 11.897 12.550 11.472 11.739 12.317 0.066 0.046 0.038 0.066 0.050 0.041 0.216 1.107 1.362 0.700 0000 98    NN
04184414+8755182  64.68553  87.92169 124.74706  25.83228 11.585 11.847 12.497 11.364 11.620 12.120 0.067 0.060 0.042 0.070 0.071 0.045 0.447 1.104 1.432 0.700 0000 98    NN
15293280-4450091 232.38664 -44.83586 330.16525   9.51416 11.585 11.944 12.636 11.294 11.761 12.535 0.110 0.089 0.073 0.106 0.108 0.102 0.328 1.303 1.595 0.640 0133 98    NN
15374608-4725565 234.44211 -47.43235 329.80002   6.57506 11.585 11.756 12.517 11.469 11.566 12.289 0.075 0.057 0.060 0.075 0.059 0.066 0.420 1.158 1.402 0.420 0333 98    NN
17132339-2403556 258.34726 -24.06532   0.11970   8.69716 11.585 11.753 12.343 11.479 11.461 12.183 0.094 0.082 0.078 0.129 0.106 0.120 0.678 1.037 1.458 0.760 0222 98    NN
04541846-1855150  73.57698 -18.92091 218.30563 -34.03123 11.586 11.822 12.578 11.425 11.714 12.422 0.074 0.043 0.037 0.071 0.048 0.043 0.061 1.193 1.447 0.720 0222 98    NN
04561153+3058488  74.04815  30.98026 172.21573  -7.64340 11.586 11.933 12.631 11.422 11.785 12.569 0.054 0.047 0.043 0.055 0.054 0.057 0.767 1.241 1.477 0.360 0000 98    NN
07121166-2151440 108.04859 -21.86219 234.73192  -5.45662 11.586 11.759 12.460 11.076 11.483 11.842 0.103 0.065 0.069 0.130 0.115 0.097 0.879 1.220 1.672 0.600 0111 98    NN
21553221+7018448 328.88446  70.31241 109.07826  12.33114 11.586 11.843 12.679 11.417 11.794 12.524 0.085 0.072 0.069 0.085 0.091 0.087 0.799 1.079 1.347 0.880 0000 98    NN
13185525-5542461 199.73030 -55.71280 306.82483   6.95110 11.587 11.779 12.453 11.493 11.547 12.158 0.092 0.057 0.061 0.094 0.058 0.062 0.694 1.182 1.417 0.420 0222 98    NN
14475722-5027009 221.98843 -50.45030 321.18359   8.24633 11.587 11.892 12.625 11.434 11.733 12.468 0.080 0.067 0.062 0.077 0.074 0.072 0.410 1.217 1.445 0.440 0000 98    NN
16540098-6704255 253.50401 -67.07384 323.45966 -14.47793 11.587 11.866 12.608 11.408 11.726 12.314 0.058 0.044 0.037 0.063 0.055 0.044 0.104 1.053 1.426 0.820 0000 98    NN
08043336-5924014 121.13878 -59.40033 272.98129 -14.50064 11.588 11.867 12.679 11.483 11.744 12.569 0.067 0.051 0.040 0.066 0.055 0.050 0.236 1.248 1.466 0.320 0111 98    NN
15102300-4511026 227.59579 -45.18404 327.08835  11.07158 11.588 11.965 12.672 11.167 11.582 12.486 0.077 0.067 0.059 0.106 0.109 0.121 0.258 1.093 1.572 0.620 0000 98    NN
03561171+4448004  59.04869  44.80015 153.96408  -6.65411 11.589 11.785 12.428 11.517 11.677 12.240 0.056 0.048 0.042 0.060 0.054 0.048 0.562 1.061 1.329 0.820 0333 98    NN
05545282+4055327  88.72019  40.92573 170.61076   7.72649 11.589 11.915 12.619 11.135 11.492 12.104 0.077 0.055 0.048 0.092 0.077 0.067 0.337 1.236 1.660 0.860 0133 98    NN
05580912+1343193  89.53812  13.72195 194.60216  -5.22381 11.589 11.857 12.561 11.333 11.530 12.288 0.065 0.036 0.034 0.065 0.039 0.041 0.348 1.204 1.532 0.600 0000 98    NN
13513507-4642149 207.89613 -46.70414 313.54199  14.92480 11.589 11.881 12.609 11.498 11.612 12.355 0.061 0.037 0.035 0.063 0.036 0.037 0.139 1.021 1.302 0.840 0000 98    NN
20145984+5123598 303.74945  51.39998  86.75212   9.11269 11.589 11.848 12.571 11.470 11.817 12.508 0.056 0.043 0.036 0.054 0.051 0.044 0.269 1.161 1.404 0.520 0313 98    NN
20281636+0203009 307.06824   2.05026  46.42458 -20.38960 11.589 11.855 12.537 11.520 11.577 12.083 0.050 0.047 0.030 0.275 0.051 0.033 0.129 1.228 1.583 0.440 0000 98    NN
03310757+6806544  52.78154  68.11514 136.97696   9.71288 11.590 11.717 12.400 11.426 11.439 11.998 0.067 0.057 0.049 0.068 0.057 0.048 0.822 1.061 1.331 0.880 0000 98    NN
16523435-8255221 253.14337 -82.92278 309.63068 -23.46282 11.590 11.996 12.730 11.352 11.478 12.435 0.076 0.053 0.045 0.082 0.051 0.057 0.118 1.130 1.489 0.700 0131 98    NN
19543652+6521481 298.65207  65.36337  97.94427  18.27076 11.590 11.888 12.609 11.452 11.780 12.517 0.066 0.052 0.038 0.063 0.057 0.045 0.207 1.114 1.346 0.820 0000 98    NN
03124937+6734314  48.20569  67.57543 135.81888   8.31323 11.591 12.136 12.842 11.495 12.086 12.701 0.061 0.061 0.058 0.063 0.080 0.074 0.910 1.199 1.431 0.420 0444 98    NN
04142733+2709494  63.61397  27.16378 169.03601 -17.02392 11.591 11.739 12.417 11.478 11.438 12.094 0.047 0.037 0.031 0.048 0.035 0.032 0.636 1.053 1.327 0.600 0333 98    NN
05014872+2710307  75.45309  27.17516 176.02200  -8.98554 11.591 11.677 12.541 11.338 11.503 12.458 0.067 0.063 0.061 0.077 0.086 0.100 0.918 1.072 1.454 0.740 0333 98    NN
10521294-5043423 163.05400 -50.72842 284.41534   7.80694 11.591 11.722 12.474 11.101 11.298 11.796 0.109 0.082 0.071 0.121 0.106 0.080 0.523 1.279 1.666 0.860 0333 98    NN
14594982-4224198 224.95772 -42.40557 326.83188  14.43021 11.591 11.863 12.582 11.461 11.643 12.377 0.060 0.035 0.036 0.059 0.035 0.039 0.100 1.053 1.328 0.940 0000 98    NN
18074686-8204001 271.94492 -82.06674 311.55768 -25.36358 11.591 11.914 12.617 11.411 11.586 12.568 0.079 0.064 0.048 0.075 0.059 0.061 0.135 1.223 1.459 0.640 0333 98    NN
03544856+4124307  58.70238  41.40854 155.98489  -9.40433 11.592 11.812 12.526 11.542 11.748 12.341 0.038 0.032 0.028 0.043 0.041 0.035 0.735 1.124 1.404 0.400 0000 98    NN
08271263-5403350 126.80251 -54.05975 270.03110  -9.04354 11.592 11.876 12.566 11.306 11.668 12.273 0.096 0.070 0.058 0.095 0.083 0.069 0.334 1.207 1.512 0.920 0333 98    NN
08333047-5024261 128.37677 -50.40726 267.58813  -6.14426 11.592 11.914 12.749 11.422 11.810 12.715 0.079 0.064 0.071 0.079 0.081 0.103 0.904 1.179 1.442 0.360 0000 98    NN
03283539+7051278  52.14752  70.85767 135.17993  11.82343 11.593 11.775 12.505 11.313 11.557 12.331 0.066 0.062 0.051 0.076 0.086 0.079 0.837 1.093 1.486 0.860 0000 98    NN
03591067+4446415  59.79445  44.77824 154.38304  -6.32651 11.593 11.789 12.374 11.471 11.556 12.187 0.066 0.059 0.047 0.067 0.061 0.055 0.575 1.130 1.382 0.620 0000 98    NN
05403550+4347487  85.14794  43.79679 166.76854   6.90120 11.593 11.922 12.655 11.463 11.812 12.438 0.067 0.056 0.047 0.066 0.064 0.052 0.461 1.167 1.411 0.640 0000 98    NN
07163259-3939283 109.13579 -39.65791 251.32446 -12.48032 11.593 11.896 12.637 11.417 11.562 12.421 0.074 0.051 0.050 0.077 0.052 0.061 0.366 1.061 1.376 0.800 0000 98    NN
07205505-3404328 110.22939 -34.07581 246.59608  -9.26039 11.593 11.837 12.582 11.415 11.648 12.389 0.065 0.038 0.040 0.065 0.042 0.047 0.228 1.140 1.432 0.780 0000 98    NN
07324091-3719461 113.17049 -37.32946 250.62917  -8.61752 11.593 11.865 12.629 11.497 11.640 12.409 0.081 0.051 0.047 0.082 0.051 0.051 0.433 1.155 1.400 0.740 0343 98    NN
08084644-1958506 122.19352 -19.98066 239.63052   6.95596 11.594 11.971 12.711 11.495 11.843 12.493 0.068 0.045 0.041 0.067 0.050 0.044 0.125 1.086 1.347 0.840 0000 98    NN
12115264-4404540 182.96947 -44.08171 295.46860  18.21601 11.594 11.961 12.725 11.482 11.729 12.539 0.063 0.049 0.040 0.063 0.050 0.046 0.126 1.086 1.354 0.740 0333 98    NN
05485885+4214369  87.24529  42.24353 168.90410   7.42430 11.595 11.833 12.600 11.331 11.635 12.296 0.068 0.053 0.043 0.077 0.071 0.057 0.360 1.097 1.475 0.880 0333 98    NN
09091772-3518494 137.32390 -35.31372 260.07254   8.47550 11.595 11.918 12.564 11.386 11.602 12.279 0.072 0.042 0.042 0.077 0.046 0.050 0.385 1.068 1.411 0.940 0333 98    NN
16254282-6453521 246.42836 -64.89777 323.27072 -10.87680 11.595 11.951 12.619 11.420 11.754 12.224 0.088 0.063 0.054 0.086 0.068 0.052 0.134 1.134 1.410 0.800 0000 98    NN
16533428-8412149 253.39284 -84.20416 308.46207 -24.16975 11.596 11.930 12.616 11.544 11.761 12.270 0.088 0.068 0.047 0.091 0.071 0.054 0.149 1.199 1.403 0.740 0133 98    NN
22421431+0707549 340.55954   7.13195  75.84534 -43.61738 11.596 11.932 12.741 11.469 11.758 12.501 0.061 0.048 0.040 0.059 0.049 0.042 0.104 1.164 1.405 0.360 0000 98    NN
03451780+3923118  56.32418  39.38671 155.87355 -12.11631 11.597 11.796 12.467 11.543 11.580 12.332 0.044 0.028 0.022 0.055 0.034 0.030 0.318 1.068 1.480 0.460 0000 98    NN
05572252+1020135  89.34380  10.33705 197.47261  -7.05387 11.597 11.923 12.633 11.469 11.797 12.362 0.072 0.044 0.043 0.072 0.050 0.046 0.346 1.217 1.483 0.420 0333 98    NN
06434592-1739265 100.94132 -17.65739 227.94482  -9.59581 11.597 11.934 12.769 11.512 11.615 12.681 0.081 0.064 0.066 0.085 0.062 0.086 0.508 1.086 1.345 0.880 0000 98    NN
11500159-7525139 177.50665 -75.42052 299.00955 -13.01845 11.597 11.897 12.608 11.473 11.836 12.560 0.073 0.047 0.047 0.072 0.055 0.059 0.410 1.196 1.428 0.560 0000 98    NN
15500012-6139011 237.50044 -61.65017 322.52649  -5.77340 11.597 11.814 12.422 11.496 11.737 12.240 0.090 0.062 0.065 0.089 0.070 0.071 0.382 1.049 1.300 0.520 0333 98    NN
18430670-7359583 280.77783 -73.99957 320.69101 -25.42994 11.597 11.921 12.579 11.450 11.828 12.472 0.062 0.049 0.036 0.059 0.055 0.043 0.163 1.243 1.464 0.500 0000 98    NN
06592900-3815135 104.87086 -38.25372 248.61598 -14.93898 11.598 11.833 12.500 11.555 11.528 12.213 0.071 0.035 0.032 0.075 0.033 0.032 0.183 1.057 1.330 0.720 0000 98    NN
07083812-4853316 107.15874 -48.89210 259.52155 -17.43988 11.598 11.903 12.605 11.446 11.600 12.165 0.048 0.033 0.028 0.061 0.040 0.032 0.102 0.914 1.390 0.880 0000 98    NN
12541734-6915579 193.57208 -69.26611 303.18576  -6.39574 11.598 11.979 12.710 11.523 11.932 12.702 0.118 0.093 0.098 0.120 0.111 0.130 0.424 1.149 1.349 0.740 0333 98    NN
15313392-4945183 232.89133 -49.75508 327.59802   5.29073 11.598 11.760 12.368 11.419 11.727 12.201 0.113 0.090 0.091 0.109 0.110 0.104 0.493 1.182 1.426 0.820 0333 98    NN
19183848-0835211 289.66028  -8.58913  28.30111  -9.92197 11.598 11.871 12.603 11.275 11.430 12.269 0.086 0.069 0.057 0.101 0.081 0.081 0.271 1.146 1.560 0.620 0333 98    NN
20015711-0649486 300.48813  -6.83017  34.82452 -18.77445 11.598 11.814 12.446 11.558 11.713 12.384 0.049 0.030 0.025 0.051 0.035 0.030 0.160 1.049 1.322 0.480 0000 98    NN
15551898-7215141 238.82887 -72.25393 315.99792 -14.22577 11.599 12.034 12.669 11.098 11.925 12.039 0.098 0.065 0.056 0.134 0.148 0.083 0.109 1.182 1.658 0.860 0444 98    NN
05232973+5108330  80.87399  51.14248 158.95189   8.39773 11.600 11.802 12.549 11.482 11.608 12.361 0.044 0.035 0.028 0.044 0.037 0.031 0.392 1.049 1.327 0.800 0000 98    NN
07283557-2850043 112.14829 -28.83447 242.66100  -5.39771 11.600 11.994 12.587 11.598 11.836 12.401 0.074 0.048 0.044 0.081 0.052 0.047 0.317 1.155 1.373 0.720 0141 98    NN
08025883-1803043 120.74513 -18.05119 237.25191   6.81042 11.600 11.857 12.554 11.387 11.545 12.297 0.083 0.064 0.048 0.085 0.067 0.056 0.103 1.199 1.508 0.560 0333 98    NN
03194206+1117169  49.92530  11.28803 170.99545 -37.38494 11.601 11.864 12.492 11.481 11.777 12.323 0.053 0.049 0.046 0.056 0.061 0.056 0.766 0.987 1.282 0.860 0000 98    NN
04161229+3706572  64.05127  37.11593 162.02055  -9.76563 11.601 11.901 12.596 11.501 11.768 12.407 0.043 0.038 0.031 0.045 0.044 0.036 0.594 1.037 1.316 0.700 0333 98    NN
07205571-2851434 110.23214 -28.86210 241.90182  -6.89702 11.601 11.878 12.593 11.539 11.725 12.341 0.066 0.048 0.039 0.071 0.053 0.043 0.253 1.000 1.309 0.800 0333 98    NN
08412438-3316392 130.35167 -33.27750 254.78474   5.35225 11.601 11.878 12.538 11.497 11.819 12.368 0.078 0.050 0.045 0.079 0.059 0.052 0.303 1.057 1.327 0.960 0111 98    NN
11015237-7106500 165.46799 -71.11386 294.23135 -10.11673 11.601 11.853 12.521 11.537 11.407 12.108 0.058 0.035 0.032 0.077 0.037 0.041 0.214 1.037 1.464 0.360 0000 98    NN
15394765-4749452 234.94864 -47.82926 329.83698   6.05285 11.601 11.904 12.648 11.463 11.832 12.570 0.100 0.091 0.087 0.098 0.107 0.110 0.473 1.134 1.382 0.640 0000 98    NN
06111690+0747473  92.82054   7.79653 201.37572  -5.26997 11.602 11.918 12.575 11.453 11.836 12.398 0.073 0.053 0.051 0.070 0.062 0.059 0.532 1.233 1.457 0.440 0333 98    NN
14062641-3945478 211.61002 -39.76332 318.26532  20.86479 11.602 11.842 12.692 11.470 11.759 12.579 0.063 0.037 0.035 0.062 0.042 0.042 0.077 1.053 1.314 0.880 0544 98    NN
