# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": NED redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
09275012+6824369|UGC 05028                     |09h27m50.1s +68d24m41s|GPair |  3901|  10|    |2003A&A...412...57P|   3825|  11|F |20112MRS.FLWO.0000H
09284409-6051196|ESO 126- G 015                |09h28m44.1s -60d51m20s|G     |  2132|  85|    |2006MNRAS.369.1131R|   2109|  22|C |20112MRS.CTIO.0000H
09314183-6135385|2MASX J09314183-6135385       |09h31m41.8s -61d35m38s|G     | 10206|  85|    |2006MNRAS.369.1131R|   9970|  88|C |20112MRS.CTIO.0000H
09344668-6037123|2MASX J09344668-6037123       |09h34m46.7s -60d37m12s|G     | 21519|  85|    |2006MNRAS.369.1131R|  21511|  63|C |20112MRS.CTIO.0000H
09362806-1119497|ARP 221 NED01                 |09h36m28.0s -11d19m49s|G     |  5546| 250|    |1999MNRAS.308..897L|   5384|  23|C |20112MRS.CTIO.0000H
09375988-6032179|2MASX J09375988-6032179       |09h37m59.9s -60d32m18s|G     | 16489|  85|    |2006MNRAS.369.1131R|  16428|  37|C |20112MRS.CTIO.0000H
09471575+5349258|CGCG 265-039 NED01            |09h47m15.8s +53d49m26s|G     | 17508|    |PHOT|2009ApJ...692..511W|  11270|  26|F |20112MRS.FLWO.0000H
09485612-0529480|2MASX J09485612-0529480       |09h48m56.1s -05d29m48s|G     |  6225|  30|    |2004ApJ...607..202M|   6285|  26|F |20112MRS.FLWO.0000H
09501768-0544468|2MASX J09501768-0544468       |09h50m17.7s -05d44m47s|G     |  5701|  28|    |2004ApJ...607..202M|   5743|  29|F |20112MRS.FLWO.0000H
10030519-0224005|IC 0587                       |10h03m05.2s -02d24m00s|G     |  6260|  27|    |1998A&AS..130..333T|   6220|  34|F |20112MRS.FLWO.0000H
10042949+1446147|UGC 05426                     |10h04m29.5s +14d46m09s|G     |  6972|   4|    |1997AJ....114..122G|   7004|  22|F |20112MRS.FLWO.0000H
10052893-0506096|2MASX J10052893-0506096       |10h05m28.9s -05d06m10s|G     | 15769|  64|    |20032dF...C...0000C|  15755|  26|F |20112MRS.FLWO.0000H
10093826-3956157|ESO 316- G 034                |10h09m38.3s -39d56m16s|G     |  5358|  20|    |2003AJ....126.2268W|   5364|  43|C |20112MRS.CTIO.0000H
10143876-2724360|ESO 500- G 017                |10h14m38.8s -27d24m36s|G     |  4149|  13|    |2005A&A...430..373T|   4137|   9|F |20112MRS.FLWO.0000H
10260606-0324468|CGCG 009-031                  |10h26m06.0s -03d24m48s|G     | 11559|  35|    |2002AJ....123..100K|  11522|  30|F |20112MRS.FLWO.0000H
10291424-0230477|CGCG 009-055                  |10h29m14.3s -02d30m48s|G     |  9114|  24|    |1994AJ....107..427D|   9075|  23|F |20112MRS.FLWO.0000H
10310449+1105524|2MASX J10310449+1105524       |10h31m04.5s +11d05m52s|G     | 18863|    |    |2008ApJS..176..414Y|  19019|  38|F |20112MRS.FLWO.0000H
10390793-0530060|2MFGC 08283                   |10h39m07.9s -05d30m06s|G     |  8330|  11|    |2006MNRAS.370.1213C|   8335|  27|C |20112MRS.CTIO.0000H
10463894+1145551|2MASX J10463894+1145551       |10h46m38.9s +11d45m55s|G     | 16494|    |    |1998A&A...330..819Z|  16382|  47|F |20112MRS.FLWO.0000H
10482196+1839570|CGCG 095-025                  |10h48m21.9s +18d39m57s|G     |  8939|  50|    |1999PASP..111..438F|   8900|  20|F |20112MRS.FLWO.0000H
10483830-4718086|ESO 264-IG 042                |10h48m38.3s -47d18m09s|G     | 12019|  85|    |2006MNRAS.369.1131R|  11899|  59|C |20112MRS.CTIO.0000H
10535025+1651022|2MASX J10535025+1651022       |10h53m50.2s +16d51m02s|G     | 25735| 186|    |1997A&AS..123..411M|  25118|  47|F |20112MRS.FLWO.0000H
10543036-0410093|2MASX J10543036-0410093       |10h54m30.4s -04d10m09s|G     |  6575|  89|    |20012dF...C...0000C|   6534|  48|C |20112MRS.CTIO.0000H
10563888+0004301|CGCG 010-043                  |10h56m38.9s +00d04m30s|G     | 11422|  89|    |20032dF...C...0000C|  11490|  23|F |20112MRS.FLWO.0000H
10581302+0136248|UGC 06057 NED01               |10h58m13.0s +01d36m25s|G     | 11582|  21|    |2000MNRAS.313..469S|  11555|  24|F |20112MRS.FLWO.0000H
11005403-0641524|MCG -01-28-021                |11h00m54.0s -06d41m53s|G     |  5996|    |   ?|1999ApJS..123...41M|   9336|  35|C |20112MRS.CTIO.0000H
11072003-0232482|CGCG 010-078                  |11h07m20.0s -02d32m48s|G     |  8544|  64|    |20032dF...C...0000C|   8627|  23|F |20112MRS.FLWO.0000H
11072058-2300405|AM 1104-224                   |11h07m20.6s -23d00m41s|G     | 19342|  75|    |2003MNRAS.339..652K|  19145|  48|C |20112MRS.CTIO.0000H
11093607-0440484|2MASX J11093607-0440484       |11h09m36.1s -04d40m49s|G     | 11602|  64|    |20032dF...C...0000C|  11444|  41|F |20112MRS.FLWO.0000H
11094848-0830154|2MASX J11094848-0830154       |11h09m48.5s -08d30m15s|QSO   | 17088| 300|    |2000A&A...358...77W|  17388|  65|F |20112MRS.FLWO.0000H
11105823-0334237|CGCG 011-019                  |11h10m58.2s -03d34m24s|G     | 10406|  43|    |1999PASP..111..438F|  10291|  32|F |20112MRS.FLWO.0000H
11174086-0427389|2MFGC 08820                   |11h17m40.9s -04d27m39s|G     | 13664|  19|    |2002AJ....124.1918M|  13841|  28|F |20112MRS.FLWO.0000H
11194398+1357503|IC 2722 NED01                 |11h19m43.9s +13d57m50s|G     | 20326|    |PRED|2009ApJ...692..511W|  20627|  33|F |20112MRS.FLWO.0000H
11203669-0552400|2MFGC 08858                   |11h20m36.7s -05d52m40s|G     |  8934|  64|    |20032dF...C...0000C|   8716|  42|C |20112MRS.CTIO.0000H
11214014-0433204|2MASX J11214014-0433204       |11h21m40.1s -04d33m20s|G     |  7285|  64|    |20032dF...C...0000C|   7307|  23|F |20112MRS.FLWO.0000H
11221825-0304526|CGCG 011-079                  |11h22m18.2s -03d04m53s|G     | 15469|  64|    |20032dF...C...0000C|  15406|  37|F |20112MRS.FLWO.0000H
11232199+2123175|2MFGC 08904                   |11h23m22.0s +21d23m17s|G     |  9835|  36|    |2003AJ....126.2152R|   9796|  30|F |20112MRS.FLWO.0000H
11234005-0428066|2MFGC 08907                   |11h23m40.1s -04d28m07s|G     | 10103|  64|    |20032dF...C...0000C|  10075|  22|F |20112MRS.FLWO.0000H
11271898-7221357|FAIRALL 1379                  |11h27m19.1s -72d21m35s|G     |  7176| 173|    |2006MNRAS.366..267F|   7179|  44|C |20112MRS.CTIO.0000H
11300721-0522451|2MASX J11300721-0522451       |11h30m07.2s -05d22m45s|G     | 19067|  64|    |20032dF...C...0000C|  19048|  41|F |20112MRS.FLWO.0000H
11305469-0455190|IC 0702                       |11h30m54.7s -04d55m19s|G     |  8964|  64|    |20032dF...C...0000C|   8891|  40|C |20112MRS.CTIO.0000H
11321306-0535380|LCRS B112940.1-051904         |11h32m13.0s -05d35m38s|G     | 15020|  64|    |20032dF...C...0000C|  14906|  35|F |20112MRS.FLWO.0000H
11383136-0423540|2MASX J11383136-0423540       |11h38m31.4s -04d23m54s|G     |  5486|  64|    |20032dF...C...0000C|   5321|  32|D |20112MRS.McDo.0000H
11401135-0407030|2MFGC 09146                   |11h40m11.4s -04d07m03s|G     | 16369|  89|    |20032dF...C...0000C|  16056| 102|D |20112MRS.McDo.0000H
11405929-1223536|LCRS B113826.8-120713         |11h40m59.3s -12d23m53s|G     |  8994|    |PHOT|1999ApJS..123...41M|  22309|  72|C |20112MRS.CTIO.0000H
11421825-2845354|2MASX J11421825-2845354       |11h42m18.3s -28d45m35s|G     |  8294|  81|    |2003MNRAS.339..652K|   8346|  35|C |20112MRS.CTIO.0000H
11424241-0606538|LCRS B114009.2-055013         |11h42m42.4s -06d06m54s|G     |  7495|    |PHOT|1999ApJS..123...41M|   8952|  21|F |20112MRS.FLWO.0000H
11474946-3322146|2MASX J11474946-3322146       |11h47m49.5s -33d22m15s|G     |  8544| 108|    |2003MNRAS.339..652K|   8504|  35|C |20112MRS.CTIO.0000H
11500381+1649287|2MASX J11500381+1649287       |11h50m03.8s +16d49m29s|G     | 15577|  28|    |2003AJ....126.2152R|  15507|  33|F |20112MRS.FLWO.0000H
11543515+2352505|2MASX J11543515+2352505       |11h54m35.1s +23d52m51s|G     |  6342|  24|    |2004AJ....128.1078R|   6301|  22|F |20112MRS.FLWO.0000H
11555079+2446041|2MASX J11555079+2446041       |11h55m50.8s +24d46m04s|G     | 10278|  28|    |2003AJ....126.2152R|   9965|  59|D |20112MRS.McDo.0000H
12085021-0653352|LCRS B120616.3-063652         |12h08m50.2s -06d53m36s|G     |  8994|    |PHOT|1999ApJS..123...41M|   8805|  26|F |20112MRS.FLWO.0000H
12224995-6830165|WKK 0960                      |12h22m50.0s -68d30m16s|G     |  5492|  58|    |2006MNRAS.366..267F|   5357|  18|C |20112MRS.CTIO.0000H
12253369+4604018|MCG +08-23-025                |12h25m33.7s +46d04m02s|G     | 14180|    |PRED|2009ApJ...692..511W|  14453|  24|F |20112MRS.FLWO.0000H
12394871-4817339|ESO 218- G 013                |12h39m48.7s -48d17m34s|G     |  5244|    |    |1992NED11.R......1N|   5387|  29|C |20112MRS.CTIO.0000H
12412460+1210328|2MASX J12412460+1210328       |12h41m24.6s +12d10m33s|G     |  1159|  65|    |2002AJ....123.2976R|  21938|  38|F |20112MRS.FLWO.0000H
12442881-0545315|LCRS B124153.8-052907         |12h44m28.8s -05d45m32s|G     | 10493|    |PHOT|1999ApJS..123...41M|  15848|  30|F |20112MRS.FLWO.0000H
12480510+2638459|2MASX J12480510+2638459       |12h48m05.1s +26d38m46s|G     |  6723|  18|    |2001ApJ...561L..41R|   6632|  32|D |20112MRS.McDo.0000H
12531160-3210252|2MASX J12531160-3210252       |12h53m11.6s -32d10m25s|G     |  9377|  73|    |2003MNRAS.339..652K|   9253|  31|C |20112MRS.CTIO.0000H
12543570-1234070|NGC 4782                      |12h54m35.7s -12d34m07s|G     |  4628|  19|    |1991RC3.9.C...0000d|   4618|  31|F |20112MRS.FLWO.0000H
12543658-1233288|NGC 4783                      |12h54m36.6s -12d33m28s|G     |  3981|  19|    |1991RC3.9.C...0000d|   3995|  22|F |20112MRS.FLWO.0000H
12593697-2915300|AM 1256-285 NED02             |12h59m37.0s -29d15m30s|G     |  3213|  54|    |2003MNRAS.339..652K|   3081|  31|C |20112MRS.CTIO.0000H
13011061-3854567|ESO 323- G 064                |13h01m10.6s -38d54m56s|G     | 14830|    |    |2008A&A...490..589C|  15179|  52|C |20112MRS.CTIO.0000H
13022290-5617338|ESO 173- G 002                |13h02m22.9s -56d17m34s|G     |  5957|  85|    |2006MNRAS.369.1131R|   5907|  67|C |20112MRS.CTIO.0000H
13041288+2811372|2MASX J13041288+2811372       |13h04m12.9s +28d11m37s|G     |  6412|  23|    |2001ApJ...561L..41R|   6390|  24|F |20112MRS.FLWO.0000H
13050254+4333123|MCG +07-27-028                |13h05m02.5s +43d33m12s|G     | 12351|    |PHOT|2009ApJ...692..511W|  11129|  19|F |20112MRS.FLWO.0000H
13054980-8614502|FAIRALL 1382                  |13h05m49.8s -86d14m50s|G     | 12033| 250|    |2006MNRAS.366..267F|  12428|  38|C |20112MRS.CTIO.0000H
13064909+8251596|CGCG 365-008                  |13h06m49.3s +82d52m00s|G     | 10940| 150|    |2004AJ....127.1336S|  10692|  33|F |20112MRS.FLWO.0000H
13071466-5546353|WKK 1819                      |13h07m14.7s -55d46m36s|G     |  6034|  85|    |2006MNRAS.369.1131R|   6022|  54|C |20112MRS.CTIO.0000H
13092158-3710274|2MASX J13092158-3710274       |13h09m21.6s -37d10m27s|G     |  3598|   9|    |2006HIPAS.C...0000:|   3616|  19|C |20112MRS.CTIO.0000H
13094342+3459049|UGC 08242                     |13h09m43.5s +34d59m05s|G     | 10914|  29|    |2001ApJ...561L..41R|  10922|  24|F |20112MRS.FLWO.0000H
13182424+3250418|UGC 08362                     |13h18m24.3s +32d50m41s|G     | 11068|  15|    |2001ApJ...561L..41R|  11061|  15|F |20112MRS.FLWO.0000H
13200919-5725561|WKK 2128                      |13h20m09.2s -57d25m56s|G     |  4578|  85|    |2006MNRAS.369.1131R|   4378|  66|C |20112MRS.CTIO.0000H
13220594-5728001|WKK 2150                      |13h22m05.9s -57d28m00s|G     |  5706|  85|    |2006MNRAS.369.1131R|   5707|  49|C |20112MRS.CTIO.0000H
13231446-1655266|2MASX J13231446-1655266       |13h23m14.5s -16d55m27s|G     |  6595|    |    |2003ApJS..148..275A|   6827|  45|C |20112MRS.CTIO.0000H
13235263-5723200|WKK 2179                      |13h23m52.7s -57d23m20s|G     |  5870|  85|    |2006MNRAS.369.1131R|   5798|  19|C |20112MRS.CTIO.0000H
13235748-0423425|IC 0886                       |13h23m57.5s -04d23m44s|G     | 22724|  64|    |20032dF...C...0000C|  22935|  41|F |20112MRS.FLWO.0000H
13244117-5732569|2MASX J13244117-5732569       |13h24m41.2s -57d32m58s|G     |  4968|  85|    |2006MNRAS.369.1131R|   5053|  61|C |20112MRS.CTIO.0000H
13252907-5727053|2MASX J13252907-5727053       |13h25m29.0s -57d27m06s|G     |  7073|  85|    |2006MNRAS.369.1131R|   7006|  85|C |20112MRS.CTIO.0000H
13263819-5705182|WKK 2225                      |13h26m38.2s -57d05m18s|G     |  4823|  85|    |2006MNRAS.369.1131R|   4894|  82|C |20112MRS.CTIO.0000H
13274357-5730323|WKK 2246                      |13h27m43.6s -57d30m32s|G     |  5942|  85|    |2006MNRAS.369.1131R|   5854|  82|C |20112MRS.CTIO.0000H
13274939-5724013|WKK 2248                      |13h27m49.4s -57d24m02s|G     |  5837|  85|    |2006MNRAS.369.1131R|   5711|  74|C |20112MRS.CTIO.0000H
13353738+1319324|UGC 08576                     |13h35m37.4s +13d19m32s|G     | 12781|    |    |2007AJ....133.2569G|  12714|  18|F |20112MRS.FLWO.0000H
13354594+4725125|2MASX J13354594+4725125       |13h35m45.9s +47d25m13s|G     | 18647|    |PRED|2009ApJ...692..511W|  18520|  31|F |20112MRS.FLWO.0000H
13364660+4350292|2MASX J13364660+4350292       |13h36m46.6s +43d50m29s|G     | 18887|    |PRED|2009ApJ...692..511W|  18819|  19|F |20112MRS.FLWO.0000H
13560548+1946468|CGCG 103-015                  |13h56m05.5s +19d46m47s|G     | 26202|    |PHOT|2009ApJ...692..511W|  21740|  43|F |20112MRS.FLWO.0000H
14023322-0541419|LCRS B135956.1-052716         |14h02m33.2s -05d41m42s|G     |  7495|    |PHOT|1999ApJS..123...41M|  22250|  36|F |20112MRS.FLWO.0000H
14210871-0022406|CGCG 019-004                  |14h21m08.7s -00d22m40s|G     | 16069|  64|    |20032dF...C...0000C|  15924|  36|F |20112MRS.FLWO.0000H
14240396+0745398|VIII Zw 411 NED02             |14h24m04.0s +07d45m40s|G     | 17028|    |PRED|2009ApJ...692..511W|  17292|  43|F |20112MRS.FLWO.0000H
14251293-5243085|WKK 3180                      |14h25m12.9s -52d43m09s|G     | 10182|  85|    |2006MNRAS.369.1131R|  10223|  62|C |20112MRS.CTIO.0000H
14294924+1127469|2MASX J14294924+1127469       |14h29m49.3s +11d27m47s|G     |  7963|  27|    |2004ApJ...607..202M|   7973|  22|F |20112MRS.FLWO.0000H
14363122-2851561|2MASX J14363122-2851561       |14h36m31.2s -28d51m56s|G     |  6252|  57|    |2003MNRAS.339..652K|   6270|  25|C |20112MRS.CTIO.0000H
14510898-0348554|2MASX J14510898-0348554       |14h51m09.0s -03d48m56s|G     | 17148|  64|    |20032dF...C...0000C|  17202|  28|F |20112MRS.FLWO.0000H
14540430-3724068|2MASX J14540430-3724068       |14h54m04.4s -37d24m06s|G     |  9953|  39|    |1992ApJS...83...29S|   9917|  18|C |20112MRS.CTIO.0000H
15055941+2719278|2MASX J15055941+2719278       |15h05m59.5s +27d19m28s|G     | 27071|    |PHOT|2009ApJ...692..511W|  24496|  38|F |20112MRS.FLWO.0000H
15091343+7004226|CGCG 337-030                  |15h09m13.3s +70d04m22s|G     |  7495|    |    |1998A&A...339...34D|   6668|  22|F |20112MRS.FLWO.0000H
15132614+0539411|2MASX J15132614+0539411       |15h13m26.2s +05d39m41s|G     | 17118|    |PHOT|2009ApJ...692..511W|  12754|  36|F |20112MRS.FLWO.0000H
15143560-4558396|ESO 274- G 002                |15h14m35.6s -45d58m40s|G     | 17082|  85|    |2006MNRAS.369.1131R|  16965| 111|C |20112MRS.CTIO.0000H
15144705-4607455|2MASX J15144705-4607455       |15h14m47.1s -46d07m46s|G     | 16579|  85|    |2006MNRAS.369.1131R|  16546|  48|C |20112MRS.CTIO.0000H
15155582-3645128|ESO 387- G 012                |15h15m55.8s -36d45m13s|G     |  4332|   7|    |2006HIPAS.C...0000:|   4284|  31|C |20112MRS.CTIO.0000H
15180891+6657522|2MASX J15180891+6657522       |15h18m08.9s +66d57m52s|G     | 17088|    |    |2002MNRAS.329..877C|  17310|  33|F |20112MRS.FLWO.0000H
15192766+0405463|GIN 393                       |15h19m27.7s +04d05m46s|G     | 15616|  24|    |1999MNRAS.305..259W|  15585|  33|F |20112MRS.FLWO.0000H
15213686+0743099|NGC 5919                      |15h21m36.9s +07d43m09s|G     | 13874|  25|    |2004AJ....128.1558S|  13876|  28|F |20112MRS.FLWO.0000H
15300021+8225252|MCG +14-07-021                |15h29m59.8s +82d25m25s|G     |  6141| 140|    |1973ApJ...182..351G|   6074|  20|F |20112MRS.FLWO.0000H
15325288+0028079|CGCG 022-009                  |15h32m52.9s +00d28m08s|G     | 11781|  22|    |1999A&AS..140..327M|  11799|  25|F |20112MRS.FLWO.0000H
15413448+5558391|2MASX J15413448+5558391       |15h41m34.5s +55d58m39s|G     | 20356|    |PRED|2009ApJ...692..511W|  20063|  22|F |20112MRS.FLWO.0000H
15544487+4520182|I Zw 128 NOTES03              |15h54m44.9s +45d20m18s|G     | 12022|    |PRED|2009ApJ...692..511W|  11818|  24|F |20112MRS.FLWO.0000H
15564682+2551256|2MASX J15564682+2551256       |15h56m46.9s +25d51m25s|G     | 21975|    |PHOT|2009ApJ...692..511W|  20958|  39|F |20112MRS.FLWO.0000H
16004187+6943160|CGCG 338-036                  |16h00m41.8s +69d43m16s|G     |  7915|    |    |2002Afz....45..458K|   7647|  33|F |20112MRS.FLWO.0000H
16030065+7736230|UGC 10212                     |16h03m00.6s +77d36m23s|G     |  3951|    |    |1999AstL...25..706M|   3940|  16|F |20112MRS.FLWO.0000H
16034669-2244088|ESO 516- G 005                |16h03m46.7s -22d44m09s|G     |  7347|   9|    |2003A&A...408..465M|   7336|  21|F |20112MRS.FLWO.0000H
16061387-6010169|WKK 5859                      |16h06m13.9s -60d10m17s|G     |  5736|  40|    |2004A&A...415....9W|   5895|  45|C |20112MRS.CTIO.0000H
16063721-6857217|FAIRALL 1411                  |16h06m37.2s -68d57m22s|G     |  3318| 130|    |2006MNRAS.366..267F|   3390|  29|C |20112MRS.CTIO.0000H
16101524-7250026|FAIRALL 1414                  |16h10m15.2s -72d50m03s|G     | 11105| 108|    |2006MNRAS.366..267F|  11108|  66|C |20112MRS.CTIO.0000H
16125698+3046149|GIN 545                       |16h12m57.0s +30d46m15s|G     | 14811|  53|    |1999MNRAS.305..259W|  14821|  27|F |20112MRS.FLWO.0000H
16133565-6051545|ESO 137- G 002                |16h13m36.0s -60d51m55s|G     |  5691|  20|    |2003AJ....126.2268W|   5802|  51|C |20112MRS.CTIO.0000H
16142217+6315400|NGC 6111 NED01                |16h14m22.2s +63d15m40s|G     |  9442|  47|    |1999PASP..111..438F|   9474|  32|F |20112MRS.FLWO.0000H
16182647-6046470|WKK 6459                      |16h18m26.7s -60d46m47s|G     |  5268|  35|    |2008MNRAS.383..445W|   5234|  28|C |20112MRS.CTIO.0000H
16183642-5927175|WKK 6471                      |16h18m36.4s -59d27m17s|G     | 10493|    |    |2006A&A...459...21M|  10381| 147|C |20112MRS.CTIO.0000H
16193562-6201088|WKK 6515                      |16h19m35.6s -62d01m09s|G     |  5194|  34|    |2004A&A...415....9W|   5385|  35|C |20112MRS.CTIO.0000H
16194601+5233130|MCG +09-27-016                |16h19m45.9s +52d33m13s|G     | 19187|    |    |2002MNRAS.329..877C|  19015|  31|F |20112MRS.FLWO.0000H
16210615-6037085|WKK 6600                      |16h21m06.1s -60d37m09s|G     |  5062|  34|    |2004A&A...415....9W|   5143|  41|C |20112MRS.CTIO.0000H
16255722+4357431|2MASX J16255722+4357431       |16h25m57.2s +43d57m43s|G     |  9621|  26|    |2002AJ....124.1266R|   9512|  36|F |20112MRS.FLWO.0000H
16274088+3922588|NGC 6158                      |16h27m40.9s +39d22m59s|G     |  8980|   7|    |2000MNRAS.313..469S|   8932|  24|F |20112MRS.FLWO.0000H
16290655-6138394|ESO 137- G 029                |16h29m06.6s -61d38m39s|G     |  5310|  12|    |2003AJ....126.2268W|   5631|  41|C |20112MRS.CTIO.0000H
16301805-7348233|ESO 043- G 002                |16h30m18.0s -73d48m23s|G     |  5678|  57|    |2006MNRAS.366..267F|   5738|  37|C |20112MRS.CTIO.0000H
16305402+3950513|CGCG 224-061                  |16h30m54.0s +39d50m51s|G     |  8439|  28|    |1999PASP..111..438F|   8437|  26|F |20112MRS.FLWO.0000H
16330514+1145406|2MASX J16330514+1145406       |16h33m05.1s +11d45m41s|G     | 20955|    |PHOT|2009ApJ...692..511W|  15602|  30|F |20112MRS.FLWO.0000H
16332341-6404035|2MASX J16332341-6404035       |16h33m23.4s -64d04m03s|G     | 15452|  85|    |2006MNRAS.369.1131R|  15589|  64|C |20112MRS.CTIO.0000H
16343630-6401505|2MASX J16343630-6401505       |16h34m36.3s -64d01m50s|G     | 14276|  85|    |2006MNRAS.369.1131R|  14252|  31|C |20112MRS.CTIO.0000H
16365206-6016347|WKK 7198                      |16h36m52.1s -60d16m35s|G     |  3405|   6|    |2006HIPAS.C...0000:|   3385|  48|C |20112MRS.CTIO.0000H
16374245-2126477|ESO 585- G 002                |16h37m42.5s -21d26m48s|G     |  4049|  36|    |2000MNRAS.316..326H|   4052|  44|C |20112MRS.CTIO.0000H
16381810-6421367|ESO 101- G 004                |16h38m18.1s -64d21m37s|G     | 14820|  85|    |2006MNRAS.369.1131R|  14758|  47|C |20112MRS.CTIO.0000H
16390277-6505079|2MASX J16390277-6505079       |16h39m02.8s -65d05m08s|G     | 14642|  85|    |2006MNRAS.369.1131R|  14800|  57|C |20112MRS.CTIO.0000H
16395822-6426295|2MASX J16395822-6426295       |16h39m58.2s -64d26m30s|G     | 15886|  85|    |2006MNRAS.369.1131R|  16003|  61|C |20112MRS.CTIO.0000H
16440927-6454422|2MASX J16440927-6454422       |16h44m09.3s -64d54m42s|G     | 14903|  85|    |2006MNRAS.369.1131R|  14919|  46|C |20112MRS.CTIO.0000H
16443714-6419492|2MASX J16443714-6419492       |16h44m37.2s -64d19m49s|G     | 15356|  85|    |2006MNRAS.369.1131R|  15258|  35|C |20112MRS.CTIO.0000H
16461284+6213486|CGCG 299-027                  |16h46m12.9s +62d13m48s|G     |  5650|  23|    |1999PASP..111..438F|   5664|  20|F |20112MRS.FLWO.0000H
16524802+8137585|UGC 10638 NED07               |16h52m47.7s +81d37m59s|G     | 11111|  22|    |1999MNRAS.305..259W|  11183|  28|F |20112MRS.FLWO.0000H
16542680+7833414|2MFGC 13529                   |16h54m26.3s +78d33m42s|G     | 16197|  45|    |2002AJ....123.2261B|  16120|  29|F |20112MRS.FLWO.0000H
16594690+2746033|GIN 622                       |16h59m47.0s +27d46m01s|G     | 10522|  22|    |1999MNRAS.305..259W|  10544|  23|F |20112MRS.FLWO.0000H
17033283+4527350|UGC 10681                     |17h03m32.9s +45d27m35s|G     |  9847|   6|    |2005AJ....130.1037C|   9925|  19|F |20112MRS.FLWO.0000H
17033591+7837435|NGC 6331                      |17h03m35.6s +78d37m45s|G     | 17558|  36|    |1999PASP..111..438F|  16073|  45|F |20112MRS.FLWO.0000H
17104978+4551151|UGC 10746                     |17h10m49.8s +45d51m15s|G     |  8267|    |    |2001AstL...27..213M|   8287|  27|F |20112MRS.FLWO.0000H
17122774-2322108|2MASX J17122774-2322108       |17h12m27.7s -23d22m11s|G     |  8531|  44|    |2000MNRAS.316..326H|   8862|  46|F |20112MRS.FLWO.0000H
17155037+5722006|IC 1252                       |17h15m50.4s +57d22m01s|G     |  8996| 108|    |1996AJ....112..388L|   9071|  41|F |20112MRS.FLWO.0000H
17205741+4209198|UGC 10820                     |17h20m57.4s +42d09m20s|G     |  9500|    |    |2005ApJS..160..149S|   9544|  37|F |20112MRS.FLWO.0000H
17243782-0243062|2MASX J17243782-0243062       |17h24m37.8s -02d43m06s|G     |  9893|    |    |1993A&AS...97..483S|   9961|  62|F |20112MRS.FLWO.0000H
17352800+0925367|CGCG 083-002                  |17h35m28.0s +09d25m37s|G     | 62788|  98|   :|1996AJ....112.1803M|   9234|  41|C |20112MRS.CTIO.0000H
17362628+1001147|CGCG 083-004                  |17h36m26.3s +10d01m15s|G     |  6360|  67|    |1999PASP..111..438F|   6349|  23|F |20112MRS.FLWO.0000H
17523946+2903323|UGC 11021                     |17h52m39.5s +29d03m32s|G     |  5186|   4|    |1997AJ....114..122G|   5285|  31|F |20112MRS.FLWO.0000H
17585937+1032207|UGC 11073                     |17h58m59.4s +10d32m21s|G     |  6427|  10|    |1998A&AS..130..333T|   6454|  20|F |20112MRS.FLWO.0000H
18000416+4431383|MCG +07-37-013                |18h00m04.2s +44d31m38s|G     | 12071|    |    |2001AstL...27..213M|  12132|  16|F |20112MRS.FLWO.0000H
18113342+0131427|2MASX J18113342+0131427       |18h11m33.4s +01d31m43s|G     |  8662|  59|    |1992ApJS...83...29S|   8759|  16|F |20112MRS.FLWO.0000H
18142100+1006268|CGCG 084-028                  |18h14m21.0s +10d06m27s|G     |  6103|  40|    |1985BICDS..29...87K|   6148|  24|F |20112MRS.FLWO.0000H
18142648+1000199|CGCG 084-029                  |18h14m26.5s +10d00m20s|G     |  6160|  40|    |1985BICDS..29...87K|   6041|  22|F |20112MRS.FLWO.0000H
18171009+7023549|2MASX J18171009+7023549       |18h17m10.1s +70d23m55s|G     | 25752|    |    |2003ApJS..149...29G|  26098|  34|F |20112MRS.FLWO.0000H
18280147+1607327|UGC 11242                     |18h28m01.5s +16d07m32s|G     | 10489|    |    |2005ApJS..160..149S|  10478|  53|F |20112MRS.FLWO.0000H
18433548+7949573|2MASX J18433548+7949573       |18h43m35.6s +79d49m58s|G     | 15289| 899|    |1991ApJS...76..813S|  15088|  32|F |20112MRS.FLWO.0000H
18435051+8144032|UGC 11366                     |18h43m50.6s +81d44m03s|G     | 15780|    |    |2001AstL...27..213M|  15789|  30|F |20112MRS.FLWO.0000H
18593477+1906217|2MASX J18593477+1906217       |18h59m34.8s +19d06m21s|G     |  8554|    |    |2000AJ....120..298J|   4914|  32|F |20112MRS.FLWO.0000H
19131601+4706494|2MASX J19131601+4706494       |19h13m16.0s +47d06m50s|G     | 16429|  60|    |2001A&A...374..861S|  16441|  31|F |20112MRS.FLWO.0000H
19345690-5255290|ESO 184- G 081                |19h34m57.0s -52d55m32s|G     | 13551|  30|    |2006A&A...447..891F|  13564|  24|C |20112MRS.CTIO.0000H
